------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:10:37 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.event.ipv6.zero_len_padn              | Total                     | 9
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9901
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 6
flow.mgr.flows_notimeout                      | Total                     | 5
flow.mgr.flows_timeout                        | Total                     | 1
flow.mgr.flows_evicted                        | Total                     | 1
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 163
decoder.pkts                                  | W#01-eth0                 | 163
decoder.bytes                                 | W#01-eth0                 | 21343
decoder.ipv4                                  | W#01-eth0                 | 19
decoder.ipv6                                  | W#01-eth0                 | 37
decoder.ethernet                              | W#01-eth0                 | 163
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 37
decoder.icmpv6                                | W#01-eth0                 | 13
decoder.avg_pkt_size                          | W#01-eth0                 | 130
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 3
flow.icmpv6                                   | W#01-eth0                 | 4
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 3
flow.mgr.full_hash_pass                       | FM#01                     | 1
flow.spare                                    | FM#01                     | 9901
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 6
flow.mgr.flows_notimeout                      | FM#01                     | 5
flow.mgr.flows_timeout                        | FM#01                     | 1
flow.mgr.flows_evicted                        | FM#01                     | 1
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:11:33 (uptime: 0d, 00h 01m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 165
decoder.pkts                                  | Total                     | 165
decoder.bytes                                 | Total                     | 21596
decoder.ipv4                                  | Total                     | 20
decoder.ipv6                                  | Total                     | 38
decoder.ethernet                              | Total                     | 165
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 38
decoder.icmpv6                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 130
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 4
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 4
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9903
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 9
flow.mgr.flows_notimeout                      | Total                     | 6
flow.mgr.flows_timeout                        | Total                     | 3
flow.mgr.flows_evicted                        | Total                     | 3
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 165
decoder.pkts                                  | W#01-eth0                 | 165
decoder.bytes                                 | W#01-eth0                 | 21596
decoder.ipv4                                  | W#01-eth0                 | 20
decoder.ipv6                                  | W#01-eth0                 | 38
decoder.ethernet                              | W#01-eth0                 | 165
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 38
decoder.icmpv6                                | W#01-eth0                 | 14
decoder.avg_pkt_size                          | W#01-eth0                 | 130
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 4
flow.icmpv6                                   | W#01-eth0                 | 4
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 4
flow.mgr.full_hash_pass                       | FM#01                     | 1
flow.spare                                    | FM#01                     | 9903
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 9
flow.mgr.flows_notimeout                      | FM#01                     | 6
flow.mgr.flows_timeout                        | FM#01                     | 3
flow.mgr.flows_evicted                        | FM#01                     | 3
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:11:41 (uptime: 0d, 00h 01m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 167
decoder.pkts                                  | Total                     | 167
decoder.bytes                                 | Total                     | 22002
decoder.ipv4                                  | Total                     | 20
decoder.ipv6                                  | Total                     | 40
decoder.ethernet                              | Total                     | 167
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 40
decoder.icmpv6                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 131
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 6
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 2
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9903
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 10
flow.mgr.flows_notimeout                      | Total                     | 7
flow.mgr.flows_timeout                        | Total                     | 3
flow.mgr.flows_evicted                        | Total                     | 3
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 167
decoder.pkts                                  | W#01-eth0                 | 167
decoder.bytes                                 | W#01-eth0                 | 22002
decoder.ipv4                                  | W#01-eth0                 | 20
decoder.ipv6                                  | W#01-eth0                 | 40
decoder.ethernet                              | W#01-eth0                 | 167
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 40
decoder.icmpv6                                | W#01-eth0                 | 14
decoder.avg_pkt_size                          | W#01-eth0                 | 131
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 6
flow.icmpv6                                   | W#01-eth0                 | 4
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 2
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 6
flow.mgr.full_hash_pass                       | FM#01                     | 1
flow.spare                                    | FM#01                     | 9903
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 10
flow.mgr.flows_notimeout                      | FM#01                     | 7
flow.mgr.flows_timeout                        | FM#01                     | 3
flow.mgr.flows_evicted                        | FM#01                     | 3
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:11:49 (uptime: 0d, 00h 01m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 167
decoder.pkts                                  | Total                     | 167
decoder.bytes                                 | Total                     | 22002
decoder.ipv4                                  | Total                     | 20
decoder.ipv6                                  | Total                     | 40
decoder.ethernet                              | Total                     | 167
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 40
decoder.icmpv6                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 131
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 6
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 2
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9903
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 10
flow.mgr.flows_notimeout                      | Total                     | 7
flow.mgr.flows_timeout                        | Total                     | 3
flow.mgr.flows_evicted                        | Total                     | 3
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 167
decoder.pkts                                  | W#01-eth0                 | 167
decoder.bytes                                 | W#01-eth0                 | 22002
decoder.ipv4                                  | W#01-eth0                 | 20
decoder.ipv6                                  | W#01-eth0                 | 40
decoder.ethernet                              | W#01-eth0                 | 167
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 40
decoder.icmpv6                                | W#01-eth0                 | 14
